session_id,timestamp,velocity,acceleration,echo_index,echo_amplitude,echo_width,Peak Frequency,Spectral Centroid,Trend_5,Mean_5,Centroid_Trend_5,Trend_10,Mean_10,Centroid_Trend_10,Trend_25,Mean_25,Centroid_Trend_25,Trend_50,Mean_50,Centroid_Trend_50,calc_dist_m,ttc,label
people_with_keeping_distance,2272922.5,0.0643364676264901,0.0264131455360529,20384.0,492.03018,2.0,250585.9375,307646.02498469077,9144.0,10141.0,26856.586688165266,4749.0,11986.8,98690.46988526313,3981.0,10935.52,23453.890981747012,19583.0,11362.36,132470.24816495428,1.789878272,,not_towards
people_with_keeping_distance,2273114.75,0.0943784765476797,0.0326376027563089,5389.0,381.10676,15.0,40937.5,243811.5234493189,-1913.0,8970.8,-13234.563600197056,-7982.0,10962.2,36301.16948444495,-10674.0,10494.96,-22644.00769415527,5368.0,11454.12,-8900.349168983754,0.47319731200000004,,not_towards
people_with_keeping_distance,2273314.5,0.1378909625966494,0.0418950424359243,17504.0,338.51886,4.0,40234.375,285295.82906823914,10126.0,11011.2,13567.232533982024,3117.0,11375.5,84317.35198272494,1894.0,10552.6,15013.229223594302,1931.0,11803.78,31611.590255904157,1.536991232,,not_towards
people_with_keeping_distance,2273754.75,0.1719396524451546,0.0457815698562515,16370.0,312.8079,14.0,40859.375,268931.39789430087,11969.0,12809.6,87942.38033265981,2514.0,11573.8,56948.209801715566,1467.0,10583.0,100955.27014112574,2207.0,11819.72,-25668.77820897143,1.43741696,,not_towards
people_with_keeping_distance,2273801.5,0.2032574178157514,0.0530465664066977,16393.0,387.8796,3.0,41171.875,219065.91099054035,-3991.0,15208.0,-88580.11399415042,4479.0,11827.5,57938.06347471621,2660.0,10642.6,10616.573515835073,1879.0,11864.32,-47194.360917773505,1.439436544,,not_towards
people_with_keeping_distance,2273994.75,0.1741087571640359,0.0432102318322889,16269.0,305.2366,6.0,40507.8125,202435.6355920497,10880.0,14385.0,-41375.887857269234,5029.0,12263.0,-78353.80270447585,2716.0,10744.04,13401.17252644297,-218.0,11899.42,-28355.640018623817,1.428548352,,not_towards
people_with_keeping_distance,2274240.25,0.1878536916039505,0.0439949650071756,15206.0,327.04038,4.0,40664.0625,259670.67876188955,-2298.0,16348.4,-25625.15030634959,7904.0,12659.6,2624.5917123736,3034.0,10810.16,102366.36662827172,-2152.0,11873.8,-43007.368405647896,1.335208448,,not_towards
people_with_keeping_distance,2274433.0,0.1742513883108772,0.0384644414405049,14653.0,338.98055999999997,15.0,40468.75,224846.4808603282,-1717.0,15778.2,-44084.91703397269,7275.0,13394.7,-46882.11567392893,5122.0,10909.4,51204.61082134169,-2433.0,11819.7,-72191.17157453415,1.286650624,,not_towards
people_with_keeping_distance,2274634.0,0.1448530350242831,0.0291509303646511,14069.0,396.17346,17.0,41015.625,169149.13330188385,-2324.0,15318.0,-49916.7776886565,9668.0,14063.8,-11839.884259757207,6036.0,11090.92,-9787.05988091047,681.0,11759.36,-91338.34963332256,1.2353707520000001,,not_towards
people_with_keeping_distance,2274834.0,0.0779742465331789,0.0108832052539874,12552.0,335.07924,17.0,41210.9375,140622.00665245613,-3717.0,14549.8,-61813.62893959353,-7832.0,14878.9,-167024.01833223464,6285.0,11271.68,-126838.97836407904,281.0,11742.64,-126099.21502832876,1.102166016,,not_towards
people_with_keeping_distance,2275063.25,0.0215220487303625,-0.0039433675429434,10431.0,341.01506,17.0,40859.375,162740.22754699312,-4775.0,13382.2,-96930.45121489644,5042.0,13883.6,-81071.29590232577,5295.0,11438.24,-34481.488513079355,-975.0,11705.84,-20593.970890765224,0.9159252480000001,,not_towards
people_with_keeping_distance,2275263.75,-0.0668965689556073,-0.0259978472958182,8624.0,314.1127,17.0,40664.0625,147431.7305502137,-6029.0,12065.8,-77414.7503101145,-8880.0,14207.1,-137864.09851802545,5551.0,11577.76,-22137.66287006112,-5252.0,11650.2,-123471.40960024574,0.757256192,,not_towards
people_with_keeping_distance,2275464.75,-0.0526759145983452,-0.0210991611725001,7758.0,279.6935,17.0,40781.25,200538.4066552473,-6311.0,10686.8,31389.273353363416,-8612.0,13232.5,-68392.9912390536,6327.0,11765.16,981.6465184496192,-1217.0,11527.84,17940.022531889408,0.681214464,,not_towards
people_with_keeping_distance,2275662.5,-0.150106216294616,-0.0446178742210503,5846.0,252.04892,14.0,41210.9375,192732.0040396384,-6706.0,9042.2,52109.99738718226,-10547.0,12180.1,-26333.90695090196,5634.0,11941.76,-35761.76693441463,-1505.0,11465.26,-72801.69502166315,0.513325568,2.4947585023873415,towards
people_with_keeping_distance,2275862.75,-0.251347924817586,-0.0679262026037218,3817.0,236.80772,16.0,40507.8125,184097.03044909955,-6614.0,7295.2,21356.80290210643,-12452.0,10922.5,-18338.60514295011,-13583.0,12085.96,-12889.968259604182,2800.0,11394.58,26121.531342342263,0.33516313600000003,1.153631281611831,towards
people_with_keeping_distance,2276090.75,-0.3531777236069884,-0.0897442030475081,2121.0,353.69146,16.0,40429.6875,157628.75274601535,-6503.0,5633.2,10197.022195801665,-13085.0,9507.7,-102041.9260158742,-13514.0,11474.8,-51326.80235341229,960.0,11416.66,-10250.343001800213,0.186240768,0.4960637731043543,towards
people_with_keeping_distance,2276282.0,-0.4383070818441707,-0.1069274683143265,1280.0,323.24556,17.0,40820.3125,171113.47269559902,-6478.0,4164.4,-29424.93395964825,-13373.0,8115.1,-53733.008164729166,-12091.0,10900.6,-36396.88126927492,-70.0,11419.04,-84363.41914254148,0.11239424,0.2488730368747072,towards
people_with_keeping_distance,2276474.5,-0.5201029980772484,-0.1224197919113722,35.0,221.07012,2.0,40468.75,189555.27339285208,-5811.0,2619.8,-3176.730646786309,-14034.0,6653.3,20406.140090968227,-14352.0,10367.16,-11423.203692662122,-15316.0,11392.74,-95321.68694098832,0.0030732800000000003,0.005904879934848135,towards
people_with_keeping_distance,2276666.5,-0.3974272191655053,-0.0853706860886686,15084.0,355.82346,2.0,41171.875,220829.39031118632,11267.0,4467.4,36732.35986208677,2532.0,6754.8,80207.38365873019,1228.0,10395.04,8846.202218601014,-828.0,11387.4,-72449.38485220278,1.324495872,2.604248387138859,towards
people_with_keeping_distance,2276890.25,-0.2937711323223588,-0.0542254087989081,18173.0,466.71396,13.0,40507.8125,178358.24308314847,16052.0,7338.6,20729.490337133117,7742.0,7316.9,15618.015536155348,6259.0,10567.72,17230.395567324333,3751.0,11432.62,-83821.10649254356,1.595734784,3.9742084324369022,towards
people_with_keeping_distance,2277301.75,-0.1738448967832036,-0.0184308451542579,15686.0,343.97204,17.0,41171.875,242598.4913199343,14406.0,10051.6,71485.01862433532,7062.0,7842.4,95166.76076972064,4446.0,10718.6,-38190.94697659116,-491.0,11457.9,-19553.912445028807,1.3773562879999999,,not_towards
people_with_keeping_distance,2277348.75,-0.0717363202721858,0.0074689814911119,14930.0,359.58728,6.0,40859.375,241381.3081556012,14895.0,12781.6,51826.03476274913,7172.0,8473.0,40842.90150035394,7628.0,10866.2,-15664.778893914743,-2514.0,11432.96,-31970.58568381035,1.31097344,,not_towards
people_with_keeping_distance,2277511.5,-0.043361825346807,0.0143139806082714,13293.0,215.51108,2.0,40898.4375,220294.41272003765,-1791.0,15433.2,-534.9775911486649,7447.0,9026.5,27562.40868039927,5915.0,11105.84,-51434.18381421946,-2574.0,11349.94,-20799.53019497328,1.167231744,,not_towards
people_with_keeping_distance,2277711.0,-0.0307629539662804,0.0167770401564468,13175.0,258.12834,19.0,40625.0,171125.73568711884,-4998.0,15051.4,-7232.507396029629,9358.0,9759.4,-12971.29476198071,8774.0,11337.72,-9863.281874522218,-3196.0,11296.1,-104805.73045707284,1.1568704,,not_towards
people_with_keeping_distance,2278168.5,-0.0431442349568818,0.0117428625760393,10454.0,290.75764,16.0,40664.0625,155264.95485111047,-5232.0,13507.6,-87333.53646882388,8333.0,10423.1,-2363.7978949048847,-9930.0,11579.84,-152381.0701335803,-5934.0,11177.76,-159890.4664750693,0.917944832,,not_towards
people_with_keeping_distance,2278211.75,-0.0483362684470789,0.0103129030724941,10412.0,270.53424,14.0,40859.375,185679.805868309,-4518.0,12452.8,-55701.50228729221,9132.0,11252.2,14566.333172709972,5023.0,11180.96,-58131.7175810099,-5991.0,11058.24,-98512.32813463476,0.9142568959999999,,not_towards
people_with_keeping_distance,2278381.0,0.0383635481014853,0.0316708386648655,9388.0,386.8627,16.0,41210.9375,269215.04352170957,-3905.0,11344.4,48920.63080167191,9353.0,12063.0,79659.77012885749,-8116.0,11340.92,-16080.785546529572,-6675.0,10917.94,2759.512378235406,0.8243415040000001,,not_towards
people_with_keeping_distance,2278621.25,-0.0144932391289652,0.0164339852904994,7200.0,301.58658,17.0,41171.875,155925.50589795964,-5975.0,10125.8,-15200.229789159202,-7884.0,12779.5,-64903.88441322668,-9170.0,10928.76,-113005.89199634123,-8410.0,10740.68,-114357.0939466852,0.6322175999999999,,not_towards
